sample,step,t,dx_m1,dv_m1,dx_m2,dv_m2,dx_m3,dv_m3,dx_m4,dv_m4,dx_m5,dv_m5,dx_m6,dv_m6,dx_m7,dv_m7
69,1380,22.9665223221782733,4.468222e-09,2.516976e-07,5.984372e-09,3.371125e-07,8.495838e-09,4.785827e-07,7.392728e-09,4.164301e-07,6.506921e-09,3.665503e-07,2.798878e-09,1.576403e-07,1.067294e-08,6.012556e-07
70,1400,22.9710534266924419,1.880250e-09,5.025531e-08,2.518036e-09,6.730824e-08,3.575167e-09,9.555789e-08,3.110854e-09,8.314519e-08,2.737971e-09,7.318632e-08,1.177860e-09,3.147387e-08,4.491175e-09,1.200536e-07
71,1420,23.0030503945280178,1.059795e-09,4.782867e-09,1.419162e-09,6.405797e-09,2.015159e-09,9.094103e-09,1.753404e-09,7.913305e-09,1.543144e-09,6.965143e-09,6.639567e-10,2.995961e-09,2.531363e-09,1.142452e-08
72,1440,23.2650894394034157,4.683020e-10,8.519902e-10,6.270039e-10,1.140943e-09,8.905087e-10,1.619908e-09,7.747786e-10,1.409574e-09,6.818186e-10,1.240539e-09,2.934124e-10,5.337799e-10,1.118580e-09,2.034823e-09
73,1460,24.3322030019339925,5.461037e-10,2.185609e-09,7.323534e-10,2.932610e-09,1.037464e-09,4.153039e-09,9.043999e-10,3.618458e-09,7.959193e-10,3.187093e-09,3.429610e-10,1.369265e-09,1.302244e-09,5.218190e-09
74,1480,24.5128313604619459,1.569220e-09,1.135890e-08,2.105030e-09,1.523914e-08,2.981424e-09,2.158152e-08,2.598366e-09,1.880742e-08,2.287706e-09,1.656143e-08,9.842100e-10,7.120686e-09,3.744340e-09,2.710945e-08
75,1500,24.5474710039276135,1.741032e-09,2.912886e-08,2.335657e-09,3.907939e-08,3.307964e-09,5.534365e-08,2.882689e-09,4.822937e-08,2.538394e-09,4.247034e-08,1.091399e-09,1.825906e-08,4.155264e-09,6.952112e-08
76,1520,24.6227246055127902,8.808969e-10,4.145461e-09,1.181715e-09,5.561428e-09,1.673736e-09,7.876248e-09,1.458539e-09,6.863502e-09,1.284322e-09,6.044025e-09,5.522077e-10,2.598180e-09,2.102434e-09,9.894339e-09
77,1540,25.1130195153983657,2.343025e-10,1.167335e-09,3.143089e-10,1.565716e-09,4.451407e-10,2.218492e-09,3.881485e-10,1.931691e-09,3.416247e-10,1.701707e-09,1.471932e-10,7.301284e-10,5.587205e-10,2.788929e-09
78,1560,27.3980847334587241,6.822354e-10,1.223566e-09,9.147050e-10,1.640833e-09,1.296226e-09,2.324647e-09,1.127713e-09,2.022541e-09,9.937473e-10,1.782609e-09,4.254341e-10,7.626083e-10,1.630967e-09,2.925601e-09
79,1580,27.7421587883006599,1.586193e-09,1.511463e-08,2.126953e-09,2.026994e-08,3.013557e-09,2.871247e-08,2.622057e-09,2.498828e-08,2.310720e-09,2.202016e-08,9.890253e-10,9.427737e-09,3.791990e-09,3.612482e-08
80,1600,27.7751934264845987,4.424852e-09,8.171216e-08,5.934318e-09,1.095828e-07,8.405752e-09,1.552255e-07,7.315201e-09,1.350919e-07,6.446759e-09,1.190465e-07,2.759322e-09,5.096646e-08,1.057674e-08,1.953004e-07
81,1620,27.7838984211233902,3.891785e-09,1.379584e-07,5.219475e-09,1.850127e-07,7.392724e-09,2.620747e-07,6.434491e-09,2.280838e-07,5.670121e-09,2.009914e-07,2.427808e-09,8.605218e-08,9.300836e-09,3.297306e-07
82,1640,27.8096928108462111,2.132151e-09,1.631026e-08,2.859663e-09,2.187316e-08,4.050001e-09,3.098417e-08,3.525369e-09,2.696548e-08,3.106512e-09,2.376234e-08,1.330297e-09,1.017373e-08,5.095077e-09,3.898271e-08
83,1660,27.9916281066615616,1.090111e-09,2.633902e-09,1.461512e-09,3.531755e-09,2.071339e-09,5.003827e-09,1.801928e-09,4.354896e-09,1.587937e-09,3.837017e-09,6.796403e-10,1.643721e-09,2.606455e-09,6.294421e-09
84,1680,28.544913957280329,1.473958e-09,3.716764e-09,1.973919e-09,4.978614e-09,2.802880e-09,7.066679e-09,2.435570e-09,6.141996e-09,2.145646e-09,5.411318e-09,9.190002e-10,2.317103e-09,3.526758e-09,8.892141e-09
85,1700,28.8574394581876292,1.892096e-09,1.803974e-09,2.534083e-09,2.416478e-09,3.597236e-09,3.429533e-09,3.127561e-09,2.981484e-09,2.754496e-09,2.626416e-09,1.181137e-09,1.125290e-09,4.524204e-09,4.314508e-09
86,1720,29.6337024487845516,9.320762e-10,2.861969e-09,1.247402e-09,3.832141e-09,1.773112e-09,5.442699e-09,1.540423e-09,4.730196e-09,1.356302e-09,4.165901e-09,5.820316e-10,1.786164e-09,2.229724e-09,6.845873e-09
87,1740,29.7865303493634407,2.323939e-09,2.411444e-08,3.111181e-09,3.229004e-08,4.419966e-09,4.585785e-08,3.840916e-09,3.985687e-08,3.382383e-09,3.510217e-08,1.450682e-09,1.505010e-08,5.558985e-09,5.768014e-08
88,1760,29.8000329417516896,5.242672e-09,2.303056e-07,7.019487e-09,3.083891e-07,9.970428e-09,4.379643e-07,8.665073e-09,3.806550e-07,7.631053e-09,3.352458e-07,3.272294e-09,1.437361e-07,1.254038e-08,5.508733e-07
89,1780,29.8013444249240343,1.024757e-08,2.592263e-06,1.372126e-08,3.471140e-06,1.948805e-08,4.929606e-06,1.693729e-08,4.284540e-06,1.491646e-08,3.773432e-06,6.395899e-09,1.617855e-06,2.451168e-08,6.200472e-06
90,1800,29.8015208084147951,2.107505e-08,1.422523e-05,2.822013e-08,1.904820e-05,4.007786e-08,2.705157e-05,3.483336e-08,2.351179e-05,3.067782e-08,2.070704e-05,1.315336e-08,8.878098e-06,5.040979e-08,3.402557e-05
91,1820,29.8016720466289515,9.497600e-09,4.001726e-06,1.271840e-08,5.358513e-06,1.806065e-08,7.609969e-06,1.569803e-08,6.614185e-06,1.382574e-08,5.825166e-06,5.927229e-09,2.497507e-06,2.271728e-08,9.571887e-06
92,1840,29.8025162154495822,5.873639e-09,3.137871e-07,7.865772e-09,4.201739e-07,1.116907e-08,5.967195e-07,9.708255e-09,5.186356e-07,8.550503e-09,4.567659e-07,3.665479e-09,1.958379e-07,1.404902e-08,7.505561e-07
93,1860,29.8091457626189735,3.044163e-09,4.372015e-08,4.076988e-09,5.854288e-08,5.788340e-09,8.314141e-08,5.031620e-09,7.226188e-08,4.431763e-09,6.364129e-08,1.899566e-09,2.728654e-08,7.281122e-09,1.045752e-07
94,1880,29.8649657274068809,1.448776e-09,5.800824e-09,1.940693e-09,7.767549e-09,2.754447e-09,1.103130e-08,2.394712e-09,9.587829e-09,2.109438e-09,8.443794e-09,9.038483e-10,3.620569e-09,3.465084e-09,1.387529e-08
95,1900,30.3866828109807948,4.756617e-10,1.140803e-09,6.372880e-10,1.529535e-09,9.041110e-10,2.168483e-09,7.862558e-10,1.885807e-09,6.929151e-10,1.660438e-09,2.965858e-10,7.115242e-10,1.137156e-09,2.731047e-09
96,1920,33.3288873675866385,3.107756e-09,3.755728e-09,4.178271e-09,5.047130e-09,5.894990e-09,7.125452e-09,5.138851e-09,6.210562e-09,4.533877e-09,5.478497e-09,1.933594e-09,2.338537e-09,7.424485e-09,8.970003e-09
97,1940,33.6303949140502728,9.722557e-09,2.317290e-08,1.306504e-08,3.111963e-08,1.844573e-08,4.397337e-08,1.607686e-08,3.831688e-08,1.418348e-08,3.380487e-08,6.052898e-09,1.443537e-08,2.321895e-08,5.531415e-08
98,1960,33.6677986357914286,1.818057e-08,2.304002e-07,2.442550e-08,3.093806e-07,3.449520e-08,4.372235e-07,3.006269e-08,3.809698e-07,2.652141e-08,3.361174e-07,1.132166e-08,1.435360e-07,4.341158e-08,5.499154e-07
99,1980,33.6844527967790809,1.463341e-08,1.184526e-07,1.966169e-08,1.590327e-07,2.776420e-08,2.247953e-07,2.419728e-08,1.958603e-07,2.134669e-08,1.728055e-07,9.111994e-09,7.380244e-08,3.494444e-08,2.826863e-07
100,2000,33.7560311277302978,8.337728e-09,1.905976e-08,1.117991e-08,2.556460e-08,1.582931e-08,3.618115e-08,1.378569e-08,3.151351e-08,1.216453e-08,2.780869e-08,5.200685e-09,1.188423e-08,1.987698e-08,4.544723e-08
101,2020,34.1410364434051538,4.371195e-09,3.593685e-09,5.839293e-09,4.887881e-09,8.308219e-09,6.791602e-09,7.226119e-09,5.945641e-09,6.379635e-09,5.238992e-09,2.734874e-09,2.213995e-09,1.038789e-08,8.666217e-09
102,2040,34.2589667940623479,4.026238e-09,9.106499e-09,5.367647e-09,1.251489e-08,7.657279e-09,1.715146e-08,6.655255e-09,1.507595e-08,5.877124e-09,1.326810e-08,2.523223e-09,5.562416e-09,9.552082e-09,2.213959e-08
103,2060,34.396342821510841,4.141572e-09,3.432563e-09,5.508484e-09,4.660908e-09,7.882302e-09,6.489213e-09,6.845153e-09,5.680251e-09,6.046513e-09,5.006338e-09,2.600485e-09,2.119415e-09,9.806807e-09,8.259737e-09
104,2080,34.5018681136452057,4.605315e-09,2.681023e-09,6.112028e-09,3.612582e-09,8.770823e-09,5.080801e-09,7.610803e-09,4.434909e-09,6.724472e-09,3.912262e-09,2.896759e-09,1.666122e-09,1.088592e-08,6.411069e-09
105,2100,34.7133506584533626,3.527587e-09,9.941968e-09,4.655985e-09,1.294431e-08,6.730056e-09,1.905016e-08,5.827984e-09,1.641111e-08,5.152191e-09,1.452878e-08,2.228645e-09,6.346693e-09,8.302818e-09,2.315985e-08
106,2120,34.874270796250977,1.899483e-09,8.825912e-09,2.496683e-09,1.154618e-08,3.628392e-09,1.688728e-08,3.137599e-09,1.457217e-08,2.775244e-09,1.289413e-08,1.204012e-09,5.612770e-09,4.455293e-09,2.063948e-08
